,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
1821,10729,137031,65plus,75to100k,76170.14935089272,3,13703,105.21587450000001,13703.0,1129.0,360010137031129.0,POINT (-73.80761801943727 42.71792377209469),1,0.25,0.0,1.0
1822,10553,137031,65plus,100to150k,141602.45311474212,3,13703,105.21587450000001,13703.0,1102.0,360010137031102.0,POINT (-73.79296168293975 42.72903969346519),0,0.625,-0.16666666666666666,0.75
2102,10457,137031,55to64,less75k,41049.98729381978,1,13703,110.040484,13703.0,1042.0,360010137031042.0,POINT (-73.84038667629241 42.74519257164111),0,0.5625,-0.3333333333333333,0.75
2103,10636,137031,55to64,100to150k,143254.9835256399,3,13703,105.21587450000001,13703.0,1042.0,360010137031042.0,POINT (-73.84079388327993 42.74520755095844),1,0.1875,0.16666666666666666,0.5
4000,10295,137031,55to64,less75k,44669.98647483966,1,13703,110.040484,13703.0,1007.0,360010137031007.0,POINT (-73.81374658809506 42.76055063587118),0,0.375,-0.5,0.0
4001,10700,137031,55to64,less75k,27610.98694792174,1,13703,110.040484,13703.0,1007.0,360010137031007.0,POINT (-73.81341904911301 42.76025498362664),1,0.3125,-0.3333333333333333,0.5
6068,10268,137031,25to44,100to150k,142257.82867717318,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.82283814328146 42.73329047400718),0,-0.9375,-0.3333333333333333,0.0
6069,10329,137031,65plus,less75k,42793.42740979629,2,13703,101.029416,13703.0,1045.0,360010137031045.0,POINT (-73.81488083112558 42.73273576023786),0,0.375,0.0,0.25
6070,10353,137031,25to44,less75k,44799.32500639781,1,13703,110.040484,13703.0,1045.0,360010137031045.0,POINT (-73.81725701529132 42.73628417326632),0,1.0,-0.6666666666666666,0.0
6071,10381,137031,25to44,100to150k,105555.82357280664,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.81466660979399 42.72780204312692),0,0.125,0.0,0.75
6072,10427,137031,45to54,100to150k,123428.86376150385,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.81926422590445 42.72960718608351),0,0.1875,0.0,0.0
6073,10437,137031,45to54,150kplus,238788.07885470646,4,13703,124.0863595,13703.0,1045.0,360010137031045.0,POINT (-73.81861120831796 42.72952696067662),0,0.375,0.0,1.0
6074,10464,137031,55to64,75to100k,85400.72389141547,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.81620495829966 42.73343346910576),0,0.125,0.0,0.0
6075,10468,137031,55to64,75to100k,91725.05232956467,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.81689747090584 42.73787390235781),0,-0.6875,0.0,0.0
6076,10551,137031,65plus,100to150k,118184.72620125426,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.82569899667912 42.73354264947037),0,-0.0625,-0.16666666666666666,0.5
6077,10554,137031,65plus,100to150k,102540.53994133869,3,13703,105.21587450000001,13703.0,1045.0,360010137031045.0,POINT (-73.81748543684178 42.73466584749717),0,0.25,-0.16666666666666666,0.75
