,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
5606,73629,21003,25_below,less75k,52392.17565384015,2,2100,101.029416,2100.0,3005.0,360010021003005.0,POINT (-73.77418739488891 42.6554008279285),0,0.0,0.0,0.0
5607,73639,21003,25_below,less75k,26418.1917116238,1,2100,110.040484,2100.0,3005.0,360010021003005.0,POINT (-73.77276685520701 42.65460270941498),0,0.0,0.0,0.0
5608,73641,21003,25_below,less75k,61929.97466170661,2,2100,101.029416,2100.0,3005.0,360010021003005.0,POINT (-73.77410884257954 42.65585188720422),0,0.0,0.0,0.0
5609,73654,21003,25to44,100to150k,141768.28281886212,4,2100,124.0863595,2100.0,3005.0,360010021003005.0,POINT (-73.77399946587565 42.65583073053887),0,0.0,-0.3333333333333333,1.0
5610,10232,21001,25to44,150kplus,225394.9845002637,4,2100,124.0863595,2100.0,1004.0,360010021001004.0,POINT (-73.76896835288964 42.65148944587714),1,0.25,0.16666666666666666,1.0
5611,10234,21001,55to64,100to150k,127441.95307701961,4,2100,124.0863595,2100.0,1004.0,360010021001004.0,POINT (-73.77089369856928 42.65262502237615),1,0.6875,-1.0,0.25
5612,10238,21001,65plus,100to150k,142544.7035163593,4,2100,124.0863595,2100.0,1004.0,360010021001004.0,POINT (-73.76957084403426 42.65239504595809),1,0.3125,0.5,0.25
5613,10244,21001,25to44,less75k,42362.20423933029,1,2100,110.040484,2100.0,1004.0,360010021001004.0,POINT (-73.76988417112806 42.65206373259654),1,0.5,-0.16666666666666666,0.5
5614,10249,21001,55to64,100to150k,146929.73016290352,4,2100,124.0863595,2100.0,1004.0,360010021001004.0,POINT (-73.76989983185163 42.65206613931829),1,0.1875,-0.16666666666666666,0.5
7441,10220,21001,25to44,150kplus,157230.51364492613,4,2100,124.0863595,2100.0,1002.0,360010021001002.0,POINT (-73.77204015003593 42.65255183485829),0,0.125,0.0,0.0
7442,10222,21001,55to64,100to150k,131584.63658964811,4,2100,124.0863595,2100.0,1002.0,360010021001002.0,POINT (-73.77283240246477 42.65290373671137),0,0.4375,0.16666666666666666,1.0
7443,10247,21001,25to44,150kplus,184757.790591611,4,2100,124.0863595,2100.0,1002.0,360010021001002.0,POINT (-73.77266730119135 42.65308684480047),1,-0.5625,-0.3333333333333333,-0.25
16730,10129,21002,55to64,less75k,34616.42044263529,1,2100,110.040484,2100.0,2000.0,360010021002000.0,POINT (-73.77376912300232 42.6527140938115),0,0.25,0.0,0.25
27318,10119,21002,25to44,75to100k,95727.98656909491,4,2100,124.0863595,2100.0,2002.0,360010021002002.0,POINT (-73.77706766167519 42.65060992251231),0,0.625,-0.3333333333333333,0.0
27319,10132,21002,55to64,less75k,47335.15436958533,3,2100,105.21587450000001,2100.0,2002.0,360010021002002.0,POINT (-73.77683966477524 42.65202358691589),0,0.1875,0.0,0.5
27320,10177,21002,55to64,150kplus,280156.6027363975,4,2100,124.0863595,2100.0,2002.0,360010021002002.0,POINT (-73.7779614924293 42.65044499318045),0,0.1875,0.0,0.25
27321,10187,21002,65plus,75to100k,98887.90799741363,4,2100,124.0863595,2100.0,2002.0,360010021002002.0,POINT (-73.77848999971431 42.6500104207222),0,0.5,0.0,0.0
27322,10196,21002,25to44,100to150k,111439.29939072658,4,2100,124.0863595,2100.0,2002.0,360010021002002.0,POINT (-73.77777271235942 42.65123604155907),1,0.3125,-0.16666666666666666,0.25
28921,73604,21003,25_below,less75k,46444.09429327335,3,2100,105.21587450000001,2100.0,3002.0,360010021003002.0,POINT (-73.77817866119746 42.65487590743164),0,0.0,0.0,0.0
28922,73605,21003,25_below,less75k,20293.112248316083,2,2100,101.029416,2100.0,3002.0,360010021003002.0,POINT (-73.78131204578168 42.65379977759958),0,0.0,0.0,0.0
28923,73608,21003,25_below,less75k,30332.212002796467,2,2100,101.029416,2100.0,3002.0,360010021003002.0,POINT (-73.77659861403269 42.65421337005596),0,0.0,0.0,0.0
28924,73609,21003,25_below,75to100k,98619.06308767853,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77588437346799 42.6542739242218),0,0.0,0.0,0.0
28925,73610,21003,25_below,100to150k,143637.1664893605,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77504782566571 42.65376217664674),0,0.0,0.0,0.0
28926,73614,21003,25to44,less75k,47294.24696719537,1,2100,110.040484,2100.0,3002.0,360010021003002.0,POINT (-73.77731411262755 42.65470236111932),0,-0.0625,-0.3333333333333333,0.0
28927,73619,21003,45to54,less75k,54347.077683446994,2,2100,101.029416,2100.0,3002.0,360010021003002.0,POINT (-73.77589594808553 42.65377983409108),0,0.375,-0.5,0.25
28928,73620,21003,45to54,75to100k,94830.67023291175,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.78251825945698 42.65295581051238),0,0.4375,-0.16666666666666666,0.0
28929,73623,21003,55to64,less75k,24489.47173115749,3,2100,105.21587450000001,2100.0,3002.0,360010021003002.0,POINT (-73.77585088358163 42.65316210576925),0,-0.375,-0.16666666666666666,0.5
28930,73628,21003,55to64,150kplus,164382.52384256446,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77884559437823 42.65373431733016),0,0.0625,0.0,0.5
28931,73634,21003,25_below,less75k,30924.927945007832,1,2100,110.040484,2100.0,3002.0,360010021003002.0,POINT (-73.7805568122908 42.65377273308349),0,0.0,0.0,0.0
28932,73638,21003,25_below,less75k,61949.08123472116,2,2100,101.029416,2100.0,3002.0,360010021003002.0,POINT (-73.77920302072191 42.65421705066799),0,0.0,0.0,0.0
28933,73642,21003,25_below,less75k,45417.66437442188,1,2100,110.040484,2100.0,3002.0,360010021003002.0,POINT (-73.77735526882327 42.65403620508246),0,0.0,0.0,0.0
28934,73643,21003,25_below,75to100k,98547.46623160943,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77583365480545 42.65381778955063),0,0.0,0.0,0.0
28935,73645,21003,25_below,100to150k,101842.28943762444,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.775560297006 42.65403469658215),0,0.0,0.0,0.0
28936,73646,21003,25_below,100to150k,131823.99405700865,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77818255992668 42.65267683774361),0,0.0,0.0,0.0
28937,73648,21003,25_below,150kplus,247949.67422847648,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77654831288842 42.65397183894291),0,0.0,0.0,0.0
28938,73649,21003,25_below,150kplus,181395.20445224855,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77468096319197 42.6527714144172),0,0.0,0.0,0.0
28939,73650,21003,25to44,less75k,51073.595549551465,1,2100,110.040484,2100.0,3002.0,360010021003002.0,POINT (-73.77927346577479 42.65428664527445),0,0.4375,0.0,0.25
28940,73653,21003,25to44,75to100k,91412.03108461015,4,2100,124.0863595,2100.0,3002.0,360010021003002.0,POINT (-73.77797364098542 42.65552241720734),0,0.5,0.0,0.5
