,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
5615,20806,22001,25to44,less75k,72319.31093266813,2,2200,101.029416,2200.0,1007.0,360010022001007.0,POINT (-73.7638660475199 42.6505872500952),0,-0.0625,-0.16666666666666666,0.0
5616,20821,22001,25to44,75to100k,77929.43205024966,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76289923676096 42.65056859286774),0,0.4375,0.0,0.0
5617,20823,22001,25to44,100to150k,140398.71004772032,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76455515080835 42.6515892724131),0,0.4375,0.0,1.0
5618,20829,22001,25to44,100to150k,122525.78659032035,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76425722474889 42.65082811060839),0,0.375,-0.6666666666666666,0.0
5619,20833,22001,25to44,150kplus,257106.7179742652,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76545305762508 42.65131936951096),0,0.0625,0.0,0.0
5620,20834,22001,25to44,150kplus,227915.7233388077,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76443849253039 42.65069434584341),0,0.0625,0.0,0.5
5621,20841,22001,25to44,150kplus,294955.16428927943,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76447811380268 42.65172032146776),0,0.0,0.0,0.75
5622,20845,22001,45to54,less75k,74502.38767957113,1,2200,110.040484,2200.0,1007.0,360010022001007.0,POINT (-73.7634196800894 42.65115626156142),0,0.5625,-0.5,0.5
5623,20855,22001,45to54,less75k,40024.82162693153,3,2200,105.21587450000001,2200.0,1007.0,360010022001007.0,POINT (-73.76400872728975 42.65037578898382),0,0.0625,-0.5,0.25
5624,20863,22001,45to54,100to150k,141165.7597056781,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76466469916527 42.65102252308464),0,-0.25,-0.5,1.0
5625,20870,22001,45to54,150kplus,188998.3597449436,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76377159280038 42.65133029937194),0,0.25,0.0,0.25
5626,20874,22001,55to64,less75k,26929.20016655224,3,2200,105.21587450000001,2200.0,1007.0,360010022001007.0,POINT (-73.7652166235148 42.65147143488581),0,0.3125,-0.16666666666666666,0.5
5627,20875,22001,55to64,less75k,55710.38030847953,3,2200,105.21587450000001,2200.0,1007.0,360010022001007.0,POINT (-73.76340408104041 42.65103296711138),0,0.25,-0.8333333333333334,0.25
5628,20880,22001,55to64,less75k,59617.93355412567,1,2200,110.040484,2200.0,1007.0,360010022001007.0,POINT (-73.76325014603515 42.65052302398185),0,0.3125,-0.6666666666666666,0.0
5629,20892,22001,55to64,less75k,35530.59030956247,1,2200,110.040484,2200.0,1007.0,360010022001007.0,POINT (-73.76483581885084 42.65155021664255),0,-0.625,0.0,0.5
5630,20902,22001,55to64,75to100k,99695.08963101752,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.7638863170622 42.65051529666268),0,-0.6875,-0.16666666666666666,0.0
5631,20908,22001,55to64,100to150k,120172.11754602785,4,2200,124.0863595,2200.0,1007.0,360010022001007.0,POINT (-73.76362947140753 42.65111942952034),0,0.125,0.16666666666666666,0.0
