,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
1544,47596,4041,55to64,less75k,37703.282486754935,3,404,105.21587450000001,404.0,1018.0,360010004041018.0,POINT (-73.83331057327281 42.69263121066919),0,0.4375,-0.16666666666666666,-0.25
1545,47600,4041,65plus,less75k,69388.44636938092,1,404,110.040484,404.0,1010.0,360010004041010.0,POINT (-73.83924256075852 42.693109561066),0,0.0625,0.0,0.5
19442,47597,4041,55to64,less75k,40363.879240814764,3,404,105.21587450000001,404.0,1016.0,360010004041016.0,POINT (-73.82337300301235 42.69107467954875),0,0.375,-0.16666666666666666,0.0
26689,47595,4041,55to64,less75k,39237.923845802165,2,404,101.029416,404.0,1003.0,360010004041003.0,POINT (-73.83491838329084 42.69522139868588),0,0.3125,-0.3333333333333333,0.0
26690,47601,4041,65plus,less75k,27586.20820580022,1,404,110.040484,404.0,1003.0,360010004041003.0,POINT (-73.83612913581923 42.69696446892364),0,0.3125,-0.5,0.25
30416,47598,4041,55to64,less75k,50713.110669600734,3,404,105.21587450000001,404.0,1021.0,360010004041021.0,POINT (-73.82019738663701 42.68199091061315),0,-0.0625,-0.5,0.5
30417,47599,4041,65plus,less75k,24421.26577862036,2,404,101.029416,404.0,1021.0,360010004041021.0,POINT (-73.82628669442387 42.68614206997994),0,0.5625,0.0,0.5
30418,47602,4041,65plus,less75k,37660.84190981445,3,404,105.21587450000001,404.0,1021.0,360010004041021.0,POINT (-73.82469772877407 42.67923843760381),0,0.125,-0.16666666666666666,0.25
63728,45081,3001,65plus,150kplus,193887.4261873015,4,300,124.0863595,404.0,1017.0,360010004041017.0,POINT (-73.83043656522722 42.69272709116338),0,0.4375,-0.16666666666666666,0.0
63729,45199,3001,25to44,75to100k,97554.98643077831,4,300,124.0863595,404.0,1017.0,360010004041017.0,POINT (-73.82895338807452 42.6927039603265),1,0.6875,-0.6666666666666666,0.0
