,case_id,bgid,age,income,sample_inc,ami_catego,tract,elec_consu,TRACTCE10,BLOCKCE10,GEOID10,geometry,household_,attitude,pbc,subnorms
965,9487,142011,45to54,100to150k,114845.3016771486,3,14201,105.21587450000001,14201.0,1007.0,360010142011007.0,POINT (-73.81570296527654 42.62763338794275),0,-0.4375,0.0,0.5
966,9535,142011,55to64,150kplus,240712.0566390497,4,14201,124.0863595,14201.0,1007.0,360010142011007.0,POINT (-73.81556427816278 42.62831837705615),0,0.875,0.0,0.5
967,9552,142011,65plus,100to150k,116793.29843759113,3,14201,105.21587450000001,14201.0,1007.0,360010142011007.0,POINT (-73.81599297378476 42.62686475565567),0,-0.9375,0.3333333333333333,0.0
968,9571,142011,25to44,150kplus,254927.97239950587,4,14201,124.0863595,14201.0,1007.0,360010142011007.0,POINT (-73.81606311259368 42.62615184438766),1,0.0625,0.0,0.25
969,9617,142011,25to44,less75k,62909.953359282634,1,14201,110.040484,14201.0,1007.0,360010142011007.0,POINT (-73.81479378400228 42.6261365420438),1,0.1875,0.0,0.5
970,9621,142011,25to44,75to100k,94368.35963586932,3,14201,105.21587450000001,14201.0,1007.0,360010142011007.0,POINT (-73.81577512100915 42.62762032137037),1,0.0,-0.8333333333333334,0.0
971,9675,142011,55to64,150kplus,240681.0410195916,4,14201,124.0863595,14201.0,1007.0,360010142011007.0,POINT (-73.81607895135112 42.62658660170901),1,0.5,-0.5,-0.5
972,9685,142011,65plus,150kplus,295239.4530717585,4,14201,124.0863595,14201.0,1007.0,360010142011007.0,POINT (-73.81580172417178 42.62802550719319),1,0.375,0.16666666666666666,0.75
973,9686,142011,65plus,150kplus,248487.2749589637,4,14201,124.0863595,14201.0,1007.0,360010142011007.0,POINT (-73.81622142949539 42.62732007259283),1,0.375,0.0,0.75
974,9706,142011,55to64,less75k,47785.98616890244,1,14201,110.040484,14201.0,1007.0,360010142011007.0,POINT (-73.8159059207139 42.62595796145612),1,0.3125,-0.3333333333333333,0.5
7557,9251,142013,55to64,less75k,61683.214452185675,2,14201,101.029416,14201.0,3008.0,360010142013008.0,POINT (-73.79364779969818 42.61653978004585),1,0.5,-0.16666666666666666,0.25
7592,55395,142014,45to54,75to100k,82015.37183600348,3,14201,105.21587450000001,14201.0,4029.0,360010142014029.0,POINT (-73.78762510599748 42.60166274901347),0,0.4375,-0.5,0.0
7593,55414,142014,45to54,150kplus,287504.0349103902,4,14201,124.0863595,14201.0,4029.0,360010142014029.0,POINT (-73.78797206718822 42.60177392226232),0,-0.8125,0.16666666666666666,0.5
8129,55612,142014,55to64,75to100k,97708.535956902,3,14201,105.21587450000001,14201.0,4009.0,360010142014009.0,POINT (-73.78232213844507 42.61985413839808),1,0.125,0.3333333333333333,0.0
8620,55506,142014,25to44,100to150k,128450.70922982699,3,14201,105.21587450000001,14201.0,4010.0,360010142014010.0,POINT (-73.78459231238335 42.61847960789645),1,0.1875,0.0,0.25
11171,55332,142014,55to64,100to150k,137499.1960165596,3,14201,105.21587450000001,14201.0,4031.0,360010142014031.0,POINT (-73.78636920042264 42.60077535455454),0,0.5,0.0,0.75
11172,55448,142014,55to64,100to150k,124455.90399858466,3,14201,105.21587450000001,14201.0,4031.0,360010142014031.0,POINT (-73.78664000655324 42.6002103321059),0,0.375,-0.3333333333333333,0.75
11173,55498,142014,25to44,less75k,67689.06464842711,1,14201,110.040484,14201.0,4031.0,360010142014031.0,POINT (-73.78550449566707 42.60053600289216),1,0.625,-0.3333333333333333,0.75
11174,55607,142014,45to54,75to100k,94109.38221495546,3,14201,105.21587450000001,14201.0,4031.0,360010142014031.0,POINT (-73.78557754153559 42.59993615413707),1,0.6875,-1.0,-0.25
12306,72764,142012,55to64,less75k,59893.37919750169,1,14201,110.040484,14201.0,2013.0,360010142012013.0,POINT (-73.81337638973767 42.61792040115457),0,0.4375,-1.0,0.5
12307,72778,142012,55to64,100to150k,123135.04434138072,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81278871782438 42.61882927698569),0,0.125,-0.6666666666666666,0.0
12308,72830,142012,25to44,75to100k,88121.67389312002,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81353376730456 42.61801577036271),0,0.625,0.0,0.25
12309,72872,142012,45to54,100to150k,136127.49354112695,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81234089647367 42.6187081101967),0,0.3125,0.0,0.5
12310,72899,142012,55to64,less75k,67876.15725383267,2,14201,101.029416,14201.0,2013.0,360010142012013.0,POINT (-73.81351853572643 42.61803277430833),0,0.375,-0.5,0.5
12311,72926,142012,55to64,150kplus,247142.7053625836,4,14201,124.0863595,14201.0,2013.0,360010142012013.0,POINT (-73.81385090852299 42.61801323011127),0,0.375,-0.3333333333333333,0.5
12312,72927,142012,55to64,150kplus,196210.24923010665,4,14201,124.0863595,14201.0,2013.0,360010142012013.0,POINT (-73.81358231780051 42.61873140655616),0,0.6875,-0.8333333333333334,1.0
12313,72974,142012,65plus,100to150k,112657.47494640002,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81355866633535 42.61812121192535),0,0.125,0.0,0.75
12314,73106,142012,65plus,150kplus,171490.61225289456,4,14201,124.0863595,14201.0,2013.0,360010142012013.0,POINT (-73.81268167032331 42.61868998843202),1,0.1875,0.16666666666666666,0.75
12315,73153,142012,65plus,75to100k,86062.22781680766,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81344510079271 42.61850854910248),1,0.25,-0.5,1.0
12316,73181,142012,65plus,100to150k,105935.3888208198,3,14201,105.21587450000001,14201.0,2013.0,360010142012013.0,POINT (-73.81249826084067 42.61915433149299),1,0.125,-0.16666666666666666,0.5
12317,72745,142012,45to54,less75k,68964.90451926173,1,14201,110.040484,14201.0,2003.0,360010142012003.0,POINT (-73.81128720125909 42.62048973087781),0,0.625,-0.3333333333333333,0.25
12318,72753,142012,45to54,100to150k,147470.39967528786,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.8110855672211 42.62121446274625),0,0.3125,0.0,0.0
12319,72841,142012,25to44,100to150k,101902.58998148078,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81105508939159 42.62174593069679),0,-0.9375,-0.3333333333333333,1.0
12320,72939,142012,65plus,less75k,43834.24328919991,2,14201,101.029416,14201.0,2003.0,360010142012003.0,POINT (-73.81207029003667 42.62140755557849),0,0.25,-0.6666666666666666,0.25
12321,72952,142012,65plus,75to100k,94481.431907266,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81092304924616 42.62120867252741),0,0.25,-0.3333333333333333,0.5
12322,72960,142012,65plus,75to100k,85896.51222161157,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81145651535651 42.62048497218918),0,0.25,-0.16666666666666666,0.0
12323,72967,142012,65plus,100to150k,101511.61648430674,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81192742716102 42.62123750796414),0,0.0625,-0.16666666666666666,0.25
12324,73003,142012,25to44,less75k,29038.306488451723,1,14201,110.040484,14201.0,2003.0,360010142012003.0,POINT (-73.81112307959317 42.62106030358619),1,0.3125,-0.16666666666666666,0.5
12325,73058,142012,55to64,100to150k,121033.1400612086,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81150031303396 42.62129803602583),1,0.6875,0.16666666666666666,0.0
12326,73112,142012,25to44,100to150k,149173.65252808633,3,14201,105.21587450000001,14201.0,2003.0,360010142012003.0,POINT (-73.81154114663214 42.62135066554936),1,0.8125,-0.3333333333333333,0.5
12327,72732,142012,25to44,75to100k,94948.72579187546,3,14201,105.21587450000001,14201.0,2017.0,360010142012017.0,POINT (-73.80981541312285 42.61633472152494),0,0.9375,0.0,0.5
12328,72779,142012,55to64,100to150k,115119.594281429,3,14201,105.21587450000001,14201.0,2017.0,360010142012017.0,POINT (-73.81001752524229 42.61742612498266),0,0.25,0.5,0.75
12329,72790,142012,65plus,less75k,20325.39686272212,1,14201,110.040484,14201.0,2017.0,360010142012017.0,POINT (-73.80985605682592 42.6177230754077),0,0.4375,-0.3333333333333333,0.25
12330,72920,142012,55to64,100to150k,112450.5795550649,3,14201,105.21587450000001,14201.0,2017.0,360010142012017.0,POINT (-73.80896068362787 42.61803905935498),0,0.625,-0.5,0.75
12331,72938,142012,65plus,less75k,25968.05625468946,2,14201,101.029416,14201.0,2017.0,360010142012017.0,POINT (-73.80937976336384 42.61820571938187),0,0.0,-0.3333333333333333,0.25
12332,72943,142012,65plus,less75k,39680.67046894705,1,14201,110.040484,14201.0,2017.0,360010142012017.0,POINT (-73.80926032143857 42.61637379390286),0,0.25,0.3333333333333333,0.5
12333,72975,142012,65plus,100to150k,123888.21039261535,3,14201,105.21587450000001,14201.0,2017.0,360010142012017.0,POINT (-73.80876325227328 42.61818717924378),0,0.0625,0.0,1.0
