,CASE_ID,age,income,household_,attitude,subnorms,pbc
0,57744,55to64,75to100k,0,0.25,0.5,-0.16666666666666666
1,57863,25to44,less75k,0,0.25,0.75,-0.16666666666666666
2,58127,65plus,less75k,0,0.375,0.75,-0.3333333333333333
3,58098,55to64,150kplus,0,0.375,0.0,-0.16666666666666666
4,58356,25to44,less75k,1,0.625,0.0,-0.6666666666666666
5,2874,25to44,150kplus,0,0.125,0.25,-0.3333333333333333
6,2876,45to54,less75k,0,-0.125,0.5,-0.16666666666666666
7,3028,65plus,75to100k,0,0.0,0.25,-0.6666666666666666
8,3119,45to54,less75k,0,0.0625,0.75,0.0
9,3231,55to64,100to150k,0,0.3125,0.0,0.5
10,3266,55to64,150kplus,0,0.3125,0.5,0.0
11,3267,55to64,150kplus,0,0.875,0.5,-0.3333333333333333
12,3277,55to64,150kplus,0,0.4375,0.0,-0.16666666666666666
13,3314,65plus,100to150k,0,-0.0625,0.75,-0.5
14,3427,55to64,150kplus,1,0.125,0.0,-0.5
15,11097,25to44,less75k,0,0.625,0.25,-0.8333333333333334
16,11226,45to54,150kplus,0,0.5,0.0,0.0
17,11586,65plus,less75k,0,0.5625,0.0,-0.6666666666666666
18,10851,65plus,less75k,0,0.5625,0.25,-0.3333333333333333
19,10861,65plus,100to150k,0,0.375,0.5,-0.3333333333333333
20,10882,25to44,100to150k,0,0.4375,0.5,-0.6666666666666666
21,10896,45to54,75to100k,0,-0.25,0.0,-0.5
22,10897,45to54,75to100k,0,0.375,0.0,-0.3333333333333333
23,10943,65plus,less75k,0,-0.375,0.5,0.0
24,10952,65plus,100to150k,0,0.0,0.25,-0.6666666666666666
25,10964,25to44,less75k,1,0.6875,0.5,-0.16666666666666666
26,10969,25to44,75to100k,1,-0.4375,0.75,0.0
27,10985,55to64,less75k,1,0.4375,0.5,-0.6666666666666666
28,10998,65plus,less75k,1,0.8125,0.0,-0.5
29,11061,25to44,100to150k,1,0.25,1.0,0.0
30,10864,65plus,100to150k,0,-0.6875,0.5,-0.16666666666666666
31,10950,65plus,75to100k,0,0.625,0.0,-0.16666666666666666
32,10965,25to44,less75k,1,0.3125,-0.75,-0.3333333333333333
33,10988,55to64,less75k,1,0.0,0.5,-0.16666666666666666
34,10990,55to64,75to100k,1,-0.5625,0.0,0.16666666666666666
35,11015,65plus,150kplus,1,0.1875,0.75,0.0
36,11021,25to44,75to100k,1,0.3125,0.25,0.5
37,11055,65plus,150kplus,1,0.375,0.5,0.0
38,11114,25to44,less75k,0,1.0,0.25,0.0
39,11132,25to44,75to100k,0,-0.1875,0.0,-0.3333333333333333
40,11322,65plus,less75k,0,0.0625,0.0,-0.5
41,11359,65plus,75to100k,0,0.0625,0.75,0.0
42,11483,45to54,less75k,0,0.3125,0.0,-0.5
43,11517,55to64,less75k,0,0.4375,0.0,-0.16666666666666666
44,11611,65plus,less75k,0,0.3125,-0.5,-0.6666666666666666
45,11701,55to64,100to150k,1,0.1875,0.5,-1.0
46,11092,25to44,less75k,0,0.625,1.0,-0.6666666666666666
47,11096,25to44,less75k,0,0.75,0.75,-0.3333333333333333
48,11102,25to44,less75k,0,0.0625,0.25,0.0
49,11108,25to44,less75k,0,0.5,0.25,-0.5
50,11153,25to44,100to150k,0,0.375,0.5,-1.0
51,11178,45to54,less75k,0,0.5625,0.25,-0.3333333333333333
52,11208,45to54,75to100k,0,-0.25,0.5,-0.5
53,11245,55to64,less75k,0,0.4375,0.5,-0.16666666666666666
54,11340,65plus,less75k,0,0.125,0.5,-0.3333333333333333
55,11373,65plus,100to150k,0,0.4375,0.75,-0.5
56,11406,25to44,less75k,0,0.0625,0.75,-0.3333333333333333
57,11408,25to44,less75k,0,1.0,1.0,-1.0
58,11428,25to44,75to100k,0,0.5625,0.25,-0.6666666666666666
59,11436,25to44,100to150k,0,0.375,0.5,-0.3333333333333333
60,11452,25to44,150kplus,0,0.0,0.0,0.16666666666666666
61,11458,45to54,less75k,0,-0.125,1.0,-0.16666666666666666
62,11465,45to54,less75k,0,0.0,0.5,-1.0
63,11501,45to54,100to150k,0,0.625,0.25,-0.5
64,11516,55to64,less75k,0,0.25,0.5,0.3333333333333333
65,11526,55to64,less75k,0,0.375,1.0,0.0
66,11528,55to64,less75k,0,0.5,0.75,-0.3333333333333333
67,11539,55to64,less75k,0,0.3125,0.5,0.0
68,11553,55to64,75to100k,0,-0.125,0.0,-0.16666666666666666
69,11557,55to64,75to100k,0,0.0625,0.25,0.0
70,11577,55to64,100to150k,0,0.6875,0.0,0.0
71,11598,65plus,less75k,0,0.0625,0.5,0.3333333333333333
72,11623,65plus,75to100k,0,0.125,-0.5,-0.6666666666666666
73,11645,65plus,150kplus,0,0.5,-0.5,-0.5
74,11660,25to44,100to150k,1,-0.0625,0.75,0.0
75,11663,25to44,100to150k,1,-0.0625,0.5,-1.0
76,11669,45to54,less75k,1,0.3125,0.0,-0.3333333333333333
77,11671,45to54,less75k,1,0.4375,0.75,-0.6666666666666666
78,11675,45to54,less75k,1,0.375,1.0,-1.0
79,11677,45to54,75to100k,1,1.0,0.0,-0.5
80,11688,55to64,less75k,1,0.375,-0.25,-0.3333333333333333
81,11741,25to44,150kplus,1,0.5625,0.75,0.0
82,11744,45to54,less75k,1,0.5,0.0,-0.3333333333333333
83,11756,55to64,less75k,1,0.3125,0.5,0.0
84,11771,55to64,150kplus,1,-0.0625,1.0,-0.3333333333333333
85,11798,55to64,less75k,1,0.25,-0.25,-0.3333333333333333
86,11799,55to64,less75k,1,0.4375,0.25,-0.3333333333333333
87,11122,25to44,less75k,0,-0.375,1.0,0.0
88,11218,45to54,100to150k,0,0.3125,0.5,0.0
89,11220,45to54,100to150k,0,0.5,0.0,-0.16666666666666666
90,11261,55to64,less75k,0,0.1875,0.0,-0.3333333333333333
91,11094,25to44,less75k,0,-0.125,0.5,-0.5
92,11150,25to44,100to150k,0,0.375,0.25,-0.6666666666666666
93,11181,45to54,less75k,0,0.3125,0.75,-0.5
94,11253,55to64,less75k,0,-0.625,1.0,-0.3333333333333333
95,11259,55to64,less75k,0,0.4375,0.0,-0.16666666666666666
96,11289,55to64,75to100k,0,0.6875,0.25,-0.5
97,11361,65plus,75to100k,0,0.0,0.5,-0.6666666666666666
98,11369,65plus,100to150k,0,0.125,0.5,0.0
99,11378,65plus,100to150k,0,-0.3125,0.25,-0.16666666666666666
100,11381,65plus,150kplus,0,-0.375,0.0,0.5
101,11495,45to54,100to150k,0,0.125,0.5,0.0
102,11512,45to54,150kplus,0,0.375,0.5,0.0
103,11519,55to64,less75k,0,-0.125,0.75,-0.3333333333333333
104,11560,55to64,75to100k,0,-0.8125,0.0,-0.16666666666666666
105,11563,55to64,100to150k,0,0.375,0.0,-0.3333333333333333
106,11594,65plus,less75k,0,0.0625,0.75,-0.16666666666666666
107,11596,65plus,less75k,0,0.0,0.25,-0.5
108,11607,65plus,less75k,0,-0.25,0.0,-0.6666666666666666
109,11729,25to44,less75k,1,0.9375,1.0,-0.3333333333333333
110,11746,45to54,less75k,1,0.4375,0.75,-0.5
111,11750,45to54,75to100k,1,0.0,0.5,-0.16666666666666666
112,11158,25to44,150kplus,0,0.0,0.75,0.0
113,11163,25to44,150kplus,0,-0.375,0.0,0.0
114,11166,45to54,less75k,0,0.625,0.25,-0.6666666666666666
115,11179,45to54,less75k,0,0.3125,0.5,-0.16666666666666666
116,11222,45to54,100to150k,0,-0.4375,0.5,-0.6666666666666666
117,11225,45to54,150kplus,0,0.625,1.0,-0.5
118,11270,55to64,less75k,0,0.0625,-0.5,-0.5
119,11273,55to64,less75k,0,0.4375,0.25,-0.6666666666666666
120,11278,55to64,75to100k,0,0.5,0.5,-0.16666666666666666
121,11299,55to64,100to150k,0,0.875,0.5,-0.3333333333333333
122,11327,65plus,less75k,0,-0.125,0.0,-0.16666666666666666
123,11329,65plus,less75k,0,0.1875,0.25,0.0
124,11377,65plus,100to150k,0,0.0625,0.25,0.0
125,11395,25to44,less75k,0,0.625,0.25,-0.3333333333333333
126,11456,45to54,less75k,0,0.375,-0.25,-0.6666666666666666
127,11493,45to54,75to100k,0,0.125,0.5,0.0
128,11504,45to54,100to150k,0,0.125,0.75,0.0
129,11510,45to54,150kplus,0,-0.8125,0.5,-0.3333333333333333
130,11590,65plus,less75k,0,0.0,0.25,-0.16666666666666666
131,11601,65plus,less75k,0,0.625,1.0,-0.16666666666666666
132,11602,65plus,less75k,0,0.1875,0.0,-0.3333333333333333
133,11658,25to44,75to100k,1,0.4375,0.25,-0.3333333333333333
134,11719,65plus,75to100k,1,0.25,1.0,-0.6666666666666666
135,11795,45to54,100to150k,1,0.4375,0.0,-0.3333333333333333
136,11796,45to54,150kplus,1,0.5,0.25,1.0
137,11804,65plus,less75k,1,0.0625,-0.5,-0.8333333333333334
138,11194,45to54,less75k,0,-0.25,0.5,-0.5
139,52609,65plus,less75k,0,0.3125,0.75,-0.3333333333333333
140,53034,65plus,150kplus,1,0.375,0.75,0.0
141,34572,25to44,less75k,0,1.0,0.0,-0.16666666666666666
142,34576,25to44,less75k,0,0.9375,0.5,-0.5
143,34578,25to44,less75k,0,0.0,1.0,-0.6666666666666666
144,34582,25to44,less75k,0,0.0,0.25,-0.5
145,34584,25to44,75to100k,0,0.375,0.25,-0.6666666666666666
146,34586,25to44,75to100k,0,0.3125,0.5,-0.3333333333333333
147,34587,25to44,75to100k,0,0.875,0.5,-0.16666666666666666
148,34589,25to44,100to150k,0,0.75,0.5,-0.8333333333333334
149,34590,25to44,100to150k,0,0.0,0.75,0.0
150,34592,25to44,100to150k,0,0.5625,0.5,-0.8333333333333334
151,34593,25to44,100to150k,0,0.375,0.25,-0.3333333333333333
152,34597,25to44,150kplus,0,0.125,0.75,-0.3333333333333333
153,34599,25to44,150kplus,0,0.125,0.75,0.0
154,34600,25to44,150kplus,0,0.125,0.0,0.0
155,34604,45to54,less75k,0,0.375,0.75,-0.5
156,34611,45to54,100to150k,0,0.4375,0.0,0.0
157,34615,45to54,150kplus,0,-0.4375,0.25,-0.16666666666666666
158,34622,55to64,less75k,0,-0.4375,0.0,-0.16666666666666666
159,34629,55to64,75to100k,0,0.3125,0.75,0.0
