CASE_ID,age,income,household_
000030552,65plus,75to100k,0
000033801,25to44,100to150k,0
000033805,45to54,75to100k,0
000033827,25to44,75to100k,0
000033833,25to44,100to150k,0
000033839,25to44,100to150k,0
000033850,25to44,100to150k,0
000033855,25to44,150kplus,0
000033860,25to44,150kplus,0
000033864,25to44,150kplus,0
000033865,25to44,150kplus,0
000033868,45to54,less75k,0
000033880,45to54,150kplus,0
000033888,55to64,100to150k,0
000033890,55to64,100to150k,0
000033892,55to64,150kplus,0
000033901,65plus,100to150k,0
000033903,65plus,100to150k,0
000033904,65plus,100to150k,0
000033905,65plus,100to150k,0
000033918,65plus,100to150k,0
000033921,65plus,100to150k,0
000033923,65plus,100to150k,0
000033928,65plus,150kplus,0
000033937,25to44,less75k,1
000033949,25to44,100to150k,1
000033951,25to44,100to150k,1
000033954,25to44,100to150k,1
000033957,25to44,150kplus,1
000033960,25to44,150kplus,1
000033977,55to64,75to100k,1
000033987,65plus,75to100k,1
000033998,65plus,100to150k,1
000034012,25to44,100to150k,1
000034021,25to44,150kplus,1
000034024,45to54,100to150k,1
000034035,65plus,75to100k,1
000034040,65plus,100to150k,1
000034051,25to44,100to150k,1
000034061,45to54,100to150k,1
000034068,65plus,less75k,1
000034073,65plus,100to150k,1
000034082,25to44,less75k,0
000034100,45to54,75to100k,0
000034103,45to54,100to150k,0
000034124,65plus,100to150k,0
000034209,45to54,75to100k,0
000034261,55to64,100to150k,0
000034269,55to64,150kplus,0
000034297,65plus,75to100k,0
000034350,25to44,100to150k,1
000034373,45to54,100to150k,1
000034421,65plus,150kplus,1
000034444,45to54,less75k,1
000034459,55to64,less75k,1
000034481,65plus,100to150k,1
000034482,65plus,150kplus,1
000034491,25to44,100to150k,1
000034534,45to54,150kplus,1
000034548,65plus,150kplus,1
000029621,25to44,less75k,0
000029699,55to64,less75k,0
000029713,55to64,75to100k,0
000029761,25to44,less75k,0
000029767,25to44,less75k,0
000029818,45to54,less75k,0
000029846,55to64,less75k,0
000029888,55to64,75to100k,0
000029940,65plus,100to150k,0
000029941,65plus,100to150k,0
000029950,25to44,less75k,1
000029964,45to54,less75k,1
000029987,55to64,less75k,1
000029992,55to64,100to150k,1
000060534,25to44,less75k,0
000060535,25to44,less75k,0
000060537,25to44,75to100k,0
000060540,25to44,100to150k,0
000060544,25to44,150kplus,0
000060550,55to64,150kplus,0
000060555,65plus,less75k,0
000060559,65plus,100to150k,0
000060578,25to44,100to150k,0
000060583,25to44,150kplus,0
000060599,65plus,less75k,0
000060600,65plus,less75k,0
000060601,65plus,less75k,0
000060648,65plus,75to100k,1
000034092,25to44,150kplus,0
000034095,25to44,150kplus,0
000034098,45to54,less75k,0
000034102,45to54,100to150k,0
000034111,55to64,75to100k,0
000034117,65plus,less75k,0
000034118,65plus,less75k,0
000034119,65plus,less75k,0
000034125,65plus,100to150k,0
000034133,25to44,less75k,0
000034154,25to44,75to100k,0
000034163,25to44,100to150k,0
000034189,25to44,150kplus,0
000034204,45to54,less75k,0
000034220,45to54,100to150k,0
000034237,55to64,less75k,0
000034246,55to64,less75k,0
000034248,55to64,less75k,0
000034257,55to64,100to150k,0
000034276,55to64,150kplus,0
000034280,65plus,less75k,0
000034287,65plus,less75k,0
000034298,65plus,75to100k,0
000034309,65plus,100to150k,0
000034332,25to44,less75k,1
000034336,25to44,less75k,1
000034337,25to44,75to100k,1
000034338,25to44,75to100k,1
000034345,25to44,100to150k,1
000034347,25to44,100to150k,1
000034369,45to54,100to150k,1
000034378,45to54,150kplus,1
000034396,55to64,150kplus,1
000034411,65plus,100to150k,1
000034434,25to44,100to150k,1
000034460,55to64,less75k,1
000034467,55to64,150kplus,1
000034470,65plus,less75k,1
000034476,65plus,75to100k,1
000034511,65plus,less75k,1
000034513,65plus,less75k,1
000034515,65plus,100to150k,1
000034539,55to64,100to150k,1
000034545,65plus,75to100k,1
000009838,25to44,less75k,0
000009843,25to44,less75k,0
000009850,25to44,75to100k,0
000009856,25to44,75to100k,0
000009859,25to44,100to150k,0
000009873,45to54,less75k,0
000009881,45to54,100to150k,0
000009883,45to54,100to150k,0
000009884,45to54,150kplus,0
000009895,55to64,75to100k,0
000009897,55to64,75to100k,0
000009900,55to64,100to150k,0
000009902,55to64,100to150k,0
000009913,65plus,less75k,0
000009924,25to44,less75k,0
000009928,25to44,less75k,0
000009929,25to44,less75k,0
000009948,25to44,75to100k,0
000009952,25to44,100to150k,0
000009957,25to44,150kplus,0
000009958,25to44,150kplus,0
000009965,45to54,less75k,0
000009966,45to54,less75k,0
000009969,45to54,less75k,0
000009973,45to54,75to100k,0
000009976,45to54,75to100k,0
000009990,55to64,less75k,0
000010001,55to64,100to150k,0
000010015,65plus,less75k,0
000010016,65plus,75to100k,0
000010032,25to44,75to100k,1
000010036,25to44,150kplus,1
000010066,25to44,75to100k,1
000010069,25to44,100to150k,1
000010073,25to44,150kplus,1
000010081,45to54,less75k,1
000010095,55to64,75to100k,1
000010098,55to64,75to100k,1
000010107,65plus,less75k,1
000010113,65plus,100to150k,1
000009840,25to44,less75k,0
000009851,25to44,75to100k,0
000009855,25to44,75to100k,0
000009863,25to44,100to150k,0
000009864,25to44,150kplus,0
000009866,25to44,150kplus,0
000009870,25to44,150kplus,0
000009876,45to54,less75k,0
000009893,55to64,less75k,0
000009904,55to64,150kplus,0
000009905,55to64,150kplus,0
000009914,65plus,75to100k,0
000009916,65plus,75to100k,0
000009919,65plus,100to150k,0
000009921,65plus,150kplus,0
000009927,25to44,less75k,0
000009947,25to44,75to100k,0
000009951,25to44,100to150k,0
000009968,45to54,less75k,0
000009989,55to64,less75k,0
000009991,55to64,less75k,0
000010008,55to64,150kplus,0
000010011,65plus,less75k,0
000010014,65plus,less75k,0
