CASE_ID,age,income,household_
000017137,65plus,100to150k,0
000017406,65plus,75to100k,1
000016768,55to64,less75k,0
000016976,45to54,150kplus,0
000017010,55to64,75to100k,0
000017062,55to64,150kplus,0
000017109,65plus,75to100k,0
000017152,65plus,150kplus,0
000017238,65plus,less75k,1
000017270,25to44,less75k,1
000017383,55to64,150kplus,1
000070531,25to44,75to100k,0
000070652,65plus,less75k,0
000070678,65plus,100to150k,0
000070689,25to44,less75k,0
000070838,65plus,75to100k,0
000070884,25to44,100to150k,1
000025669,45to54,less75k,0
000025671,45to54,less75k,0
000025678,45to54,less75k,0
000025679,45to54,less75k,0
000025682,45to54,75to100k,0
000025688,45to54,100to150k,0
000025696,55to64,less75k,0
000025707,65plus,less75k,0
000025719,65plus,75to100k,0
000025725,65plus,100to150k,0
000025739,25to44,less75k,0
000025744,25to44,less75k,0
000025747,25to44,75to100k,0
000025750,25to44,75to100k,0
000025760,25to44,150kplus,0
000025773,45to54,less75k,0
000025778,45to54,less75k,0
000025791,45to54,75to100k,0
000025795,45to54,100to150k,0
000025807,55to64,75to100k,0
000025811,55to64,100to150k,0
000025816,65plus,less75k,0
000025817,65plus,less75k,0
000025820,65plus,less75k,0
000025831,65plus,less75k,0
000025833,65plus,less75k,0
000025839,65plus,75to100k,0
000025840,65plus,75to100k,0
000025844,65plus,75to100k,0
000025847,65plus,75to100k,0
000025853,65plus,100to150k,0
000025854,65plus,100to150k,0
000025855,65plus,100to150k,0
000025868,25to44,75to100k,1
000025871,25to44,75to100k,1
000025878,45to54,less75k,1
000025885,45to54,75to100k,1
000025892,45to54,150kplus,1
000025911,65plus,75to100k,1
000025915,65plus,100to150k,1
000025917,65plus,100to150k,1
000025930,45to54,less75k,1
000025939,55to64,100to150k,1
000025942,65plus,less75k,1
000025945,65plus,less75k,1
000025946,65plus,75to100k,1
000025948,65plus,75to100k,1
000025951,65plus,150kplus,1
000025956,25to44,75to100k,1
000025963,45to54,75to100k,1
000025971,65plus,less75k,1
000025973,65plus,less75k,1
000025653,25to44,less75k,0
000025661,25to44,75to100k,0
000025677,45to54,less75k,0
000025680,45to54,75to100k,0
000025689,45to54,100to150k,0
000025698,55to64,75to100k,0
000025704,65plus,less75k,0
000025708,65plus,less75k,0
000025715,65plus,75to100k,0
000025720,65plus,75to100k,0
000025721,65plus,75to100k,0
000025724,65plus,100to150k,0
000025728,65plus,150kplus,0
000025740,25to44,less75k,0
000025746,25to44,75to100k,0
000025759,25to44,100to150k,0
000025762,25to44,150kplus,0
000025765,45to54,less75k,0
000025772,45to54,less75k,0
000025775,45to54,less75k,0
000025785,45to54,75to100k,0
000025787,45to54,75to100k,0
000025788,45to54,75to100k,0
000025793,45to54,100to150k,0
000025798,45to54,100to150k,0
000025802,55to64,less75k,0
000025805,55to64,less75k,0
000025815,65plus,less75k,0
000025830,65plus,less75k,0
000025836,65plus,75to100k,0
000025843,65plus,75to100k,0
000025845,65plus,75to100k,0
000025850,65plus,100to150k,0
000025857,65plus,150kplus,0
000025862,25to44,less75k,1
000025865,25to44,less75k,1
000025870,25to44,75to100k,1
000025872,25to44,75to100k,1
000025875,25to44,150kplus,1
000025894,55to64,less75k,1
000025901,65plus,less75k,1
000025904,65plus,less75k,1
000025907,65plus,less75k,1
000025913,65plus,75to100k,1
000025914,65plus,75to100k,1
000025919,65plus,150kplus,1
000025923,25to44,75to100k,1
000025927,45to54,less75k,1
000025933,45to54,75to100k,1
000025934,45to54,100to150k,1
000025938,55to64,75to100k,1
000025958,25to44,150kplus,1
000025962,45to54,75to100k,1
000025964,45to54,100to150k,1
000025649,25to44,less75k,0
000025651,25to44,less75k,0
000025657,25to44,less75k,0
000025659,25to44,75to100k,0
000025662,25to44,75to100k,0
000025667,25to44,150kplus,0
000025686,45to54,75to100k,0
000025690,45to54,100to150k,0
000025700,55to64,150kplus,0
000025710,65plus,less75k,0
000025711,65plus,less75k,0
000025727,65plus,100to150k,0
000025736,25to44,less75k,0
000025743,25to44,less75k,0
000025755,25to44,100to150k,0
000025761,25to44,150kplus,0
000025763,45to54,less75k,0
000025766,45to54,less75k,0
000025770,45to54,less75k,0
000025776,45to54,less75k,0
000025777,45to54,less75k,0
000025786,45to54,75to100k,0
000025789,45to54,75to100k,0
000025794,45to54,100to150k,0
000025800,45to54,150kplus,0
000025801,45to54,150kplus,0
000025809,55to64,75to100k,0
000025810,55to64,75to100k,0
000025823,65plus,less75k,0
000025832,65plus,less75k,0
000025858,65plus,150kplus,0
000025859,65plus,150kplus,0
000025866,25to44,less75k,1
000025869,25to44,75to100k,1
000025873,25to44,100to150k,1
000025874,25to44,100to150k,1
000025877,45to54,less75k,1
000025879,45to54,less75k,1
000025882,45to54,less75k,1
000025893,45to54,150kplus,1
000025910,65plus,75to100k,1
000025918,65plus,150kplus,1
000025922,25to44,less75k,1
000025928,45to54,less75k,1
000025935,45to54,100to150k,1
000025955,25to44,75to100k,1
000025972,65plus,less75k,1
000025977,65plus,100to150k,1
000025978,65plus,150kplus,1
000025655,25to44,less75k,0
000025656,25to44,less75k,0
000025658,25to44,75to100k,0
000025665,25to44,100to150k,0
000025666,25to44,100to150k,0
000025672,45to54,less75k,0
000025694,55to64,less75k,0
000025695,55to64,less75k,0
000025697,55to64,75to100k,0
000025701,65plus,less75k,0
000025705,65plus,less75k,0
000025722,65plus,75to100k,0
000025723,65plus,100to150k,0
000025733,25to44,less75k,0
000025751,25to44,75to100k,0
000025771,45to54,less75k,0
000025774,45to54,less75k,0
000025779,45to54,less75k,0
000025781,45to54,75to100k,0
000025782,45to54,75to100k,0
000025796,45to54,100to150k,0
000025797,45to54,100to150k,0
000025803,55to64,less75k,0
000025813,55to64,150kplus,0
000025819,65plus,less75k,0
000025822,65plus,less75k,0
000025837,65plus,75to100k,0
000025838,65plus,75to100k,0
000025841,65plus,75to100k,0
000025842,65plus,75to100k,0
000025881,45to54,less75k,1
000025886,45to54,75to100k,1
000025887,45to54,75to100k,1
000025925,25to44,100to150k,1
000025943,65plus,less75k,1
000025944,65plus,less75k,1
000025954,25to44,less75k,1
000025965,45to54,150kplus,1
000070508,25to44,less75k,0
000070513,25to44,less75k,0
000070575,45to54,less75k,0
000070608,55to64,less75k,0
000070636,65plus,less75k,0
000070640,65plus,less75k,0
000070711,25to44,less75k,0
000070716,25to44,less75k,0
000070751,25to44,100to150k,0
000070752,25to44,100to150k,0
000070827,65plus,less75k,0
000070836,65plus,75to100k,0
000070914,65plus,less75k,1
000070920,65plus,less75k,1
000070921,65plus,75to100k,1
000070928,65plus,100to150k,1
000070955,45to54,150kplus,1
000007671,25to44,less75k,0
000007680,25to44,75to100k,0
000007681,25to44,100to150k,0
000007691,45to54,less75k,0
000007723,65plus,less75k,0
000007739,25to44,150kplus,0
000007745,45to54,75to100k,0
000007752,55to64,100to150k,0
000007765,25to44,less75k,1
000007766,25to44,less75k,1
000007773,25to44,75to100k,1
000007785,45to54,less75k,1
000007787,45to54,less75k,1
000007789,45to54,less75k,1
000007798,45to54,75to100k,1
000007807,45to54,100to150k,1
000007819,65plus,less75k,1
000007836,65plus,150kplus,1
000007837,65plus,150kplus,1
000070512,25to44,less75k,0
000070517,25to44,less75k,0
000070521,25to44,less75k,0
000070570,25to44,150kplus,0
000070602,55to64,less75k,0
000070646,65plus,less75k,0
000070647,65plus,less75k,0
000070661,65plus,75to100k,0
000070669,65plus,75to100k,0
000070680,65plus,100to150k,0
000070735,25to44,75to100k,0
000070743,25to44,75to100k,0
000070749,25to44,100to150k,0
000070776,45to54,100to150k,0
000070807,55to64,100to150k,0
000070839,65plus,75to100k,0
000070956,55to64,less75k,1
000070967,65plus,less75k,1
000030073,25to44,less75k,0
000030083,25to44,less75k,0
000030088,25to44,less75k,0
000030090,25to44,less75k,0
000030101,25to44,less75k,0
000030108,25to44,less75k,0
000030117,25to44,75to100k,0
000030121,25to44,75to100k,0
000030123,25to44,75to100k,0
000030139,25to44,100to150k,0
000030146,25to44,100to150k,0
000030164,45to54,less75k,0
000030170,45to54,less75k,0
000030202,45to54,100to150k,0
000030208,45to54,150kplus,0
000030211,45to54,150kplus,0
000030224,55to64,less75k,0
000030255,55to64,150kplus,0
000030258,55to64,150kplus,0
000030263,65plus,less75k,0
000030281,65plus,less75k,0
000030307,65plus,100to150k,0
000030313,65plus,100to150k,0
000030320,65plus,150kplus,0
000030330,25to44,less75k,0
000030331,25to44,less75k,0
000030346,25to44,less75k,0
